row_id,Income,Sex,Marital,Age,Education,Occupation,Live,Dual,Person,Person under 18,Householder,Hometype,Ethnic,Language
48,1,female,married,35 thru 44,graduated high school,homemaker,four to six years,no,six,four,own,house,white,english
116,1,female,married,65 and over,1 to 3 years of college,retired,more than ten years,no,two,none,own,house,white,english
119,1,male,single or never married,45 thru 54,grad study,professional/managerial,less than one year,not married,one,none,rent,condominium,white,english
122,1,female,divorced or separated,35 thru 44,1 to 3 years of college,clerical/service worker,more than ten years,not married,two,none,own,house,white,english
136,1,female,married,55 thru 64,1 to 3 years of college,professional/managerial,more than ten years,no,two,none,own,house,white,english
147,1,male,married,65 and over,graduated high school,retired,more than ten years,no,three,none,own,house,white,english
149,1,male,married,65 and over,graduated high school,retired,more than ten years,no,two,none,own,house,white,english
154,1,female,married,35 thru 44,1 to 3 years of college,homemaker,more than ten years,no,four,none,own,house,white,english
160,0,female,married,18 thru 24,graduated high school,professional/managerial,more than ten years,yes,two,none,rent,apartment,white,english
170,1,female,widowed,45 thru 54,1 to 3 years of college,retired,one to three years,not married,two,none,rent,apartment,white,english
172,1,male,married,65 and over,grad study,retired,more than ten years,no,two,none,own,house,white,english
173,1,female,married,65 and over,1 to 3 years of college,retired,more than ten years,no,two,none,own,house,white,english
184,1,female,single or never married,18 thru 24,graduated high school,sales worker,four to six years,not married,three,one,live with parents/family,house,white,english
217,1,male,married,55 thru 64,1 to 3 years of college,professional/managerial,more than ten years,yes,three,none,own,house,white,english
235,1,male,single or never married,25 thru 34,grad study,professional/managerial,more than ten years,not married,two,none,rent,apartment,white,english
243,1,male,married,35 thru 44,grad study,professional/managerial,more than ten years,yes,two,none,own,house,white,english
251,1,male,married,45 thru 54,1 to 3 years of college,professional/managerial,more than ten years,no,two,none,own,house,white,english
264,1,male,married,25 thru 34,graduated high school,factory worker/laborer/driver,more than ten years,yes,four,two,rent,other,white,english
268,1,female,married,25 thru 34,1 to 3 years of college,homemaker,seven to ten years,no,five,none,rent,house,white,english
274,1,female,single or never married,25 thru 34,1 to 3 years of college,professional/managerial,more than ten years,not married,three,none,own,house,white,english
276,1,male,married,35 thru 44,1 to 3 years of college,professional/managerial,more than ten years,no,four,two,own,house,white,english
277,1,female,single or never married,18 thru 24,1 to 3 years of college,student or hs or college,more than ten years,not married,three,none,live with parents/family,house,white,english
290,0,female,married,55 thru 64,college graduate,military,more than ten years,no,two,none,own,house,white,english
292,1,male,married,45 thru 54,grad study,professional/managerial,more than ten years,no,two,none,own,house,white,english
318,1,female,married,35 thru 44,college graduate,professional/managerial,seven to ten years,yes,four,two,own,house,white,english
321,1,male,married,45 thru 54,college graduate,professional/managerial,more than ten years,yes,four,two,own,house,white,english
322,1,female,divorced or separated,45 thru 54,1 to 3 years of college,professional/managerial,more than ten years,not married,one,none,rent,apartment,white,english
335,0,female,living together or not married,18 thru 24,1 to 3 years of college,student or hs or college,more than ten years,not married,two,none,rent,apartment,white,english
341,0,female,single or never married,25 thru 34,grad study,unemployed,more than ten years,not married,one,none,rent,apartment,white,english
344,0,female,married,18 thru 24,graduated high school,homemaker,one to three years,no,four,two,rent,apartment,white,english
350,0,male,single or never married,55 thru 64,1 to 3 years of college,retired,more than ten years,not married,one,none,rent,apartment,white,english
363,1,male,married,65 and over,college graduate,professional/managerial,more than ten years,no,two,none,own,house,white,english
381,0,female,divorced or separated,45 thru 54,graduated high school,homemaker,more than ten years,not married,two,none,own,house,white,english
386,0,male,single or never married,14 thru 17,graduated high school,sales worker,less than one year,not married,four,none,rent,apartment,white,english
390,0,female,divorced or separated,25 thru 34,college graduate,professional/managerial,more than ten years,not married,two,one,rent,condominium,white,english
399,0,female,divorced or separated,45 thru 54,grad study,professional/managerial,more than ten years,not married,one,none,own,house,white,english
421,1,male,married,35 thru 44,grad study,professional/managerial,more than ten years,yes,four,two,own,house,white,english
426,0,male,single or never married,25 thru 34,1 to 3 years of college,sales worker,more than ten years,not married,three,none,live with parents/family,apartment,white,english
433,1,male,single or never married,25 thru 34,1 to 3 years of college,professional/managerial,one to three years,not married,one,none,own,mobile home,white,english
