row_id,Id,Name,Year,Release Date,Director,Creator,Actors,Cast,Language,Country,Duration,RatingValue,RatingCount,ReviewCount,Genre,Filming Locations,Description
23,tt1233219,"My Son, My Son, What Have Ye Done",2009,8 July 2010 (Portugal),Werner Herzog,"Herbert Golder,Werner Herzog","Michael Shannon,Willem Dafoe,Chloë Sevigny","Michael Shannon,Willem Dafoe,Chloë Sevigny,Udo Kier,Michael Peña,Grace Zabriskie,Brad Dourif,Irma P. Hall,Loretta Devine,Candice Coke,Gabriel Pimentel,Braden Lynch,James C. Burns,Noel Arthur,Julius Morck",English,"USA,Germany",91 min,6.3,7135.0,"46 user,118 critic","Drama,Thriller","San Diego Convention Center - 111 West Harbor Drive, San Diego, California, USA","Inspired by a true crime, a man begins to experience mystifying events that lead him to slay his mother with a sword."
58,tt1253864,Immortals,2011,11 November 2011 (USA),Tarsem Singh,"Charley Parlapanides,Vlas Parlapanides","Henry Cavill,Mickey Rourke,John Hurt","Henry Cavill,Mickey Rourke,Stephen Dorff,Freida Pinto,Luke Evans,John Hurt,Joseph Morgan,Anne Day-Jones,Greg Bryk,Alan Van Sprang,Peter Stebbings,Daniel Sharman,Isabel Lucas,Kellan Lutz,Steve Byers","English,Greek",USA,110 min,6.1,131158.0,"397 user,278 critic","Action,Drama,Fantasy","Montréal, Québec, Canada","Theseus is a mortal man chosen by Zeus to lead the fight against the ruthless King Hyperion, who is on a rampage across Greece to obtain a weapon that can destroy humanity."
97,tt0023590,Three on a Match,1932,29 October 1932 (USA),Mervyn LeRoy,"Lucien Hubbard,Kubec Glasmon","Virginia Davis,Joan Blondell,Anne Shirley","Virginia Davis,Joan Blondell,Anne Shirley,Ann Dvorak,Betty Carse,Bette Davis,Warren William,Lyle Talbot,Humphrey Bogart,Allen Jenkins,Edward Arnold",English,USA,63 min,7.3,2121.0,"40 user,21 critic","Crime,Drama,Romance","Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","Although Vivian Revere is seemingly the most successful of a trio of reunited schoolmates, she throws it away by descending into a life of debauchery and drugs."
127,tt0091630,Night of the Creeps,1986,22 August 1986 (USA),Fred Dekker,Fred Dekker,"Jason Lively,Tom Atkins,Steve Marshall","Jason Lively,Steve Marshall,Jill Whitlow,Tom Atkins,Wally Taylor,Bruce Solomon,Vic Polizos,Allan Kayser,Ken Heron,Alice Cadogan,June Harris,David Paymer,David Oliver,Evelyne Smith,Ivan E. Roth",English,USA,88 min,6.8,13361.0,"128 user,121 critic","Comedy,Horror,Sci-Fi","California State University Northridge - 18111 Nordhoff Street, Northridge, Los Angeles, California, USA","Alien brain parasites, entering humans through the mouth, turn their host into a killing zombie. Some teenagers start to fight against them."
154,tt0479952,Madagascar: Escape 2 Africa,2008,7 November 2008 (USA),"Eric Darnell,Tom McGrath","Etan Cohen,Eric Darnell","Ben Stiller,Chris Rock,David Schwimmer","Ben Stiller,Chris Rock,David Schwimmer,Jada Pinkett Smith,Sacha Baron Cohen,Cedric the Entertainer,Andy Richter,Bernie Mac,Alec Baldwin,Sherri Shepherd,Will.i.am,Elisa Gabrielli,Tom McGrath,Chris Miller,Christopher Knights","English,Italian",USA,89 min,6.7,129553.0,"117 user,165 critic","Animation,Action,Adventure",,"The animals try to fly back to New York City, but crash-land on an African wildlife refuge, where Alex is reunited with his parents."
168,tt0028092,Pennies from Heaven,1936,25 November 1936 (USA),Norman Z. McLeod,"Katherine Leslie Moore,William Rankin","Bing Crosby,Madge Evans,Edith Fellows","Bing Crosby,Madge Evans,Edith Fellows,Louis Armstrong,Donald Meek,John Gallaudet,William Stack,Nana Bryant,Tom Dugan,Nydia Westman,William Byrne",English,USA,81 min,6.7,455.0,"16 user,11 critic","Comedy,Drama,Musical","General Service Studios - 1040 N. Las Palmas, Hollywood, Los Angeles, California, USA","Larry Poole, in prison on a false charge, promise an inmate that when he gets out he will look up and help out a family. The family turns out to be a young girl, Patsy Smith, and her ..."
234,tt0058620,Strait-Jacket,1964,19 January 1964 (USA),William Castle,Robert Bloch,"Joan Crawford,Diane Baker,Leif Erickson","Joan Crawford,Diane Baker,Leif Erickson,Howard St. John,John Anthony Hayes,Rochelle Hudson,George Kennedy,Edith Atwater,Mitchell Cox",English,USA,93 min,6.8,3009.0,"75 user,49 critic","Drama,Horror,Thriller",,"After a 20 year stay at an asylum for a double murder, a mother returns to her estranged daughter where suspicions arise about her behavior."
239,tt0238321,Ivansxtc,2000,19 July 2002 (UK),Bernard Rose,"Leo Tolstoy,Bernard Rose","Danny Huston,Peter Weller,James Merendino","Danny Huston,Peter Weller,James Merendino,Adam Krentzman,Lisa Enos,Alison Taylor,Joanne Duckman,Robert Graham,Caroleen Feeney,Sarah Danielle Goldberg,Morgan Walsh,Jay Lavender,Carol Rose,Steve Dickman,Wendy Rhoads",English,"UK,USA",93 min,6.7,1044.0,"24 user,27 critic",Drama,"Los Angeles, California, USA","Update on Leo Tolstoy's 'The Death of Ivan Ilyich,' set in contemporary Hollywood."
258,tt0083944,First Blood,1982,22 October 1982 (USA),Ted Kotcheff,"David Morrell,Michael Kozoll","Sylvester Stallone,Brian Dennehy,Richard Crenna","Sylvester Stallone,Richard Crenna,Brian Dennehy,Bill McKinney,Jack Starrett,Michael Talbott,Chris Mulkey,John McLiam,Alf Humphreys,David Caruso,David L. Crowley,Don MacKay,Charles A. Tamburro,David Petersen,Craig Huston",English,USA,93 min,7.7,159465.0,"358 user,136 critic","Action,Thriller","Golden Ears Provincial Park, British Columbia, Canada",A Vietnam Veteran uses his combat skills against the lawman of a small town when they arrest and abuse him.
351,tt0365737,Syriana,2005,9 December 2005 (USA),Stephen Gaghan,"Stephen Gaghan,Robert Baer","George Clooney,Matt Damon,Amanda Peet","Kayvan Novak,George Clooney,Amr Waked,Christopher Plummer,Jeffrey Wright,Chris Cooper,Robert Foxworth,Nicky Henson,Nicholas Art,Matt Damon,Amanda Peet,Steven Hinkle,Daisy Tormé,Peter Gerety,Richard Lintern","English,Urdu,Arabic,Persian,French,Mandarin","USA,United Arab Emirates",128 min,7.0,103371.0,"624 user,357 critic","Drama,Thriller","Annapolis, Maryland, USA",A politically-charged epic about the state of the oil industry in the hands of those personally involved and affected by it.
